Rekapitulasi Penjualan Harian
;;Form Produksi & Penjualan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
May-25;;Komposisi;Berat;Vol;Bulan;May-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Produk;Tgl Produksi;;01-May-25;02-May-25;03-May-25;04-May-25;05-May-25;06-May-25;07-May-25;08-May-25;09-May-25;10-May-25;11-May-25;12-May-25;13-May-25;14-May-25;15-May-25;16-May-25;17-May-25;18-May-25;19-May-25;20-May-25;21-May-25;22-May-25;23-May-25;24-May-25;25-May-25;26-May-25;27-May-25;28-May-25;29-May-25;30-May-25;31-May-25;;;;;;;;;;;
;;Kailan Crispy;Qty Produksi;; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;
5Beras;KC;Beras;1000;Gram; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;
5Air;KC;Air;40;Gram; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;
5Chicken Powder;KC;Chicken Powder;7,5;Gram; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;
5Gula Pasir;KC;Gula Pasir;7,5;Gram; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;
5Vetsin;KC;Vetsin;7,5;Gram; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;
;;Nasi Putih Besar ;Qty Produksi;; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;
5Beras;;Beras;1000;Gram; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;
5Air;;Air;1500;Gram; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;
;;Nasi Putih Kecil;Qty Produksi;; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;
5Beras;;Beras;1000;Gram; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;
5Air;;Air;1500;Gram; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;
;;Bumbu Oseng Sapi;Qty Produksi;; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;
