Resep Coffee
Nama Produk;Resep;Qty Produksi;Volume
Es Kopi Susu Sajati;Espresso House Blends;20;Gram
;Gula Aren Cair;30;Gram
;Susu Tabung;170;Gram
;Es Batu;55;Gram
;;;
Es Kopi Susu Aren;Espresso House Blends;20;Gram
;Gula Aren Cair;30;Gram
;Susu Tabung;170;Gram
;Es Batu;55;Gram
;;;
Es Kopi Susu Machiatto;Espresso House Blends;20;Gram
;Gula Aren Cair;30;Gram
;Susu Tabung;155;Gram
;Macchiato;20;Gram
;Es Batu;55;Gram
;;;
Es Long Black  Machiatto;Espresso Arabika;20;Gram
;Macchiato;25;Gram
;Simple Syrup;30;Gram
;Air Mineral Aqua;80;ml
;Es Batu;120;Gram
;;;
Es Kopi Yuzu;Espresso Arabika;20;Gram
;Simple Syrup;20;Gram
;Air Mineral Aqua;80;ml
;Yuzu Pulp Syrup;20;Gram
;Es Batu;120;Gram
;Dried fruit ;1;Pcs
;;;
Bianconero;Espresso Arabika;20;Gram
;Gula Aren Cair;12;Gram
;Macchiato;15;Gram
;Cranberries juice;120;Gram
;Es Batu;60;Gram
;Dried fruit ;1;Pcs
;;;
Nutella Mocha;Espresso House Blends;20;Gram
;Susu Tabung;150;Gram
;Simple Syrup;20;Gram
;Nutella;20;Gram
;Es Batu;55;Gram
;;;
Caramel Machiatto;Espresso House Blends;20;Gram
;Susu Tabung;150;Gram
;Macchiato;25;Gram
;Caramel sauce;25;Gram
;Vanilla Syrup;15;Gram
;Es Batu;55;Gram
;;;
Es Kopi Maharani;Espresso Arabika;20;Gram
;Simple Syrup;10;Gram
;Air Mineral Aqua;40;ml
;Elder Flower;25;Gram
;Jasmine Syrup;7;Gram
;Es Batu;60;Gram
;Dried fruit ;1;Pcs
;;;
Es Kopi Tropis;Espresso Arabika;20;Gram
;Simple Syrup;10;Gram
;Air Mineral Aqua;40;ml
;Mint Syrup;5;Gram
;White Passion Syrup;25;Gram
;Es Batu;60;Gram
;Dried fruit ;1;Pcs
;;;
Mocha Coffee;Espresso House Blends;20;Gram
;Simple Syrup;25;Gram
;Susu Tabung;150;Gram
;Sumatera Cokelat Powder;13;Gram
;Es Batu;60;Gram
;;;
Hot/Ice Americano;Espresso Arabika;20;Gram
;Air Mineral Aqua;100;ml
;Es Batu;120;Gram
;;;
Hot/Ice Long Black;Espresso Arabika;20;Gram
;Air Mineral Aqua;100;ml
;Es Batu;120;Gram
;;;
Ice Coffe Latte;Espresso Arabika;20;Gram
;Fresh Milk;175;Gram
;Es Batu;60;Gram
;;;
Hot Latte;Espresso Arabika;20;Gram
;Fresh Milk;170;Gram
;;;
Hot Cappucino;Espresso Arabika;20;Gram
;Fresh Milk;170;Gram
;;;
V60 hot;Beans Reguler V60;17;Gram
;Paper V60;1;Pcs
;Air Mineral Cleo;250;ml
;;;
V60 Japanese;Beans Reguler V60;17;Gram
;Paper V60;1;Pcs
;Air Mineral Cleo;200;ml
;Es Batu;100;Gram
;;;
V60 Hot seasonal;Beans Seasonal V60;15;Gram
;Paper V60;1;Pcs
;Air Mineral Cleo;250;ml
;;;
V60 Hot Geisha;Beans Geisha V60;15;Gram
;Paper V60;1;Pcs
;Air Mineral Cleo;250;ml
;;;
Afogato;Espresso Arabika;30;Gram
;Sulawesi Cokelat Powder;5;Gram
;Simple Syrup;10;Gram
;Es Batu;120;Gram
;Ice Cream Vanilla;80;Gram
;Biscuit Lotus Biscoff;2;Pcs
;Caramel sauce;10;Gram
;;;
Vanila Latte Ice;Espresso Arabika;20;Gram
;Fresh Milk;175;Gram
;Es Batu;60;Gram
;Vanilla Syrup;20;Gram
;;;
Cream Cheese Coffee;Espresso Arabika;1;Pax
;Whipping Cream;30;Gram
;Fresh Milk;90;Gram
;Oatmilk Outside;50;Gram
;Cream Cheese Syrup;25;Gram
