Resep Makanan
Nama Produk;Resep;Qty Produksi;Volume
Nasi Oseng Sapi;Bumbu Oseng Sapi;25;Gram
;Beef Slice;100;Gram
;Air;50;Gram
;Chicken Powder;2,5;Gram
;Garam;2,5;Gram
;Gula Pasir;2,5;Gram
;Lada Putih;2,5;Gram
;Vetsin;2,5;Gram
;Nasi Putih Besar;180;Gram
;Kailan Crispy;20;Gram
;;;
Nasi Ayam Kemangi;Bumbu Ayam Kemangi;25;Gram
;Ayam Suwir Besar;75;Gram
;Air;50;Gram
;Chicken Powder;2,5;Gram
;Garam;2,5;Gram
;Gula Pasir;2,5;Gram
;Lada Putih;2,5;Gram
;Vetsin;2,5;Gram
;Nasi Putih Besar;180;Gram
;Kailan Crispy;20;Gram
;Daun Kemangi;10;Gram
;;;
Nasi Goreng Sajati;Bumbu Nasi Goreng;40;Gram
;Baso Sapi;1;Pcs
;Ayam Suwir Kecil;25;Gram
;Sosis Sapi;1;Pcs
;Telur Ayam;1;Pcs
;Minyak Goreng;20;Gram
;Chicken Powder;2,5;Gram
;Kecap Asin;2,5;Gram
;Gula Pasir;2,5;Gram
;Lada Putih;2,5;Gram
;Vetsin;2,5;Gram
;Kecap Manis;2,5;Gram
;Nasi Putih Besar;180;Gram
;Kerupuk;11;Pcs
;Daun Kemangi;10;Gram
;;;
Nasi Tahu Telur;Telur Ayam;2;Pcs
;Tahu Kuning;2;Pcs
;Garam;2,5;Gram
;Lada Putih;2,5;Gram
;Vetsin;2,5;Gram
;Bawang Daun;2,5;Gram
;Nasi Putih Besar;180;Gram
;Kailan Crispy;20;Gram
;Bawang Merah;15;Gram
;Cabai Rawit Merah;15;Gram
;Kecap Manis;15;Gram
;;;
Kentang Omelete;Bawang Bombay;10;Gram
;Cheddar Cheese;1;Pcs
;Sosis Sapi;3;Pcs
;Fresh Milk;20;Gram
;Telur Ayam;2;Pcs
;Tomat Merah;10;Gram
;Garam;2,5;Gram
;Lada Putih;2,5;Gram
;Kentang Rumahan;150;Gram
;;;
Mie Goreng;Bumbu Nasi Goreng;40;Gram
;Baso Sapi;1;Pcs
;Ayam Suwir Kecil;25;Gram
;Sosis Sapi;1;Pcs
;Telur Ayam;1;Pcs
;Minyak Goreng;20;Gram
;Chicken Powder;2,5;Gram
;Kecap Asin;2,5;Gram
;Daun Kemangi;10;Gram
;Kecap Inggris;2,5;Gram
;Kecap Ikan;2,5;Gram
;Minyak Wijen;2,5;Gram
;Gula Pasir;2,5;Gram
;Lada Putih;2,5;Gram
;Vetsin;2,5;Gram
;Kecap Manis;2,5;Gram
;Mie Telur ;140;Gram
;Kerupuk;11;Pcs
;;;
Nasi Ayam Lada Hitam;Paha Fillet Bumbu;80;Gram
;Tepung Tapioka;20;Gram
;Saus Blackpepper;35;Gram
;Bawang Bombay;10;Gram
;Nasi Putih Besar;180;Gram
;Telur Ayam;1;Pcs
;;;
