Resep Non Coffee
Nama Produk;Resep;Qty Produksi;Volume
Sumatra Cokelat;Sumatera Cokelat Powder;25;Gram
;Simple Syrup;20;Gram
;Susu Tabung;150;Gram
;Es Batu;60;Gram
;;;
Rajamandala Cokelat;Rajamandala Cokelat Powder;25;Gram
;Simple Syrup;20;Gram
;Susu Tabung;150;Gram
;Es Batu;60;Gram
;;;
Sulawesi Cokelat;Sulawesi Cokelat Powder;25;Gram
;Simple Syrup;20;Gram
;Susu Tabung;150;Gram
;Es Batu;60;Gram
;;;
Matcha Latte;Matcha Powder;4;Gram
;Susu Kental Manis;15;Gram
;Vanilla Syrup;20;Gram
;Susu Tabung;100;Gram
;Es Batu;60;Gram
;;;
Taro Latte;Taro Powder;30;Gram
;Susu Tabung;150;Gram
;Es Batu;60;Gram
;;;
Heavy Mango;Manggo Syrup;30;Gram
;Gula Aren Cair;15;Gram
;Manggo popping;25;Gram
;Susu Tabung;150;Gram
;Es Batu;60;Gram
;;;
Mango Tea;Air Mineral Aqua;20;ml
;Manggo Syrup;30;Gram
;Gula Aren Cair;15;Gram
;Manggo popping;25;Gram
;BlackTea Cair;60;Gram
;Es Batu;120;Gram
;;;
Yuzu Tea;Air Mineral Aqua;20;ml
;Mint Syrup;5;Gram
;Yuzu Pulp Syrup;20;Gram
;BlackTea Cair;60;Gram
;Simple Syrup;20;Gram
;Es Batu;120;Gram
;Dried fruit ;1;Pcs
;;;
Miamore Sweetness;Biscuit Lotus Biscoff;2;Pcs
;Shortbread Syrup;20;Gram
;Gula Aren Cair;15;Gram
;Macchiato;20;Gram
;Susu Tabung;160;Gram
;Es Batu;60;Gram
